Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.780-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.816-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.849-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.885-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.928-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.964-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:02.996-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.031-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.067-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.099-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.136-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.169-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.186-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.220-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.256-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.290-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.324-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.357-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.391-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.437-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.470-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.506-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.538-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.574-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.608-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.641-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.696-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.732-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.764-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.800-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:03.835-0500, Frequency : 902750, Phase : 154
